"000640",109200,6281,678,110200,110200,107000,"",0
"001550",13180,16172,214,13280,13340,13170,"",0
"002030",196300,1241,241,194100,196900,190200,"",0
"002210",5380,60787,324,5370,5380,5320,"",0
"003080",2910,14577,42,2925,2925,2890,"",0
"003570",17360,65827,1135,16980,17490,16980,"",0
"003920",600000,3028,1794,601000,603000,583000,"",0
"004980",8570,86655,742,8610,8640,8510,"",0
"005090",23600,18473,440,24000,24150,23600,"",0
"006800",8680,1147724,10030,8950,8980,8550,"",0
"006980",19970,1883,38,19960,20050,19960,"",0
"007540",50400,4144,209,50200,50900,50100,"",0
"008040",941,277188,261,942,949,935,"",0
"008250",6220,10861,67,6260,6260,6200,"",0
"009070",3990,78116,311,3985,4020,3965,"",0
"009450",55000,32728,1818,56300,56800,54800,"",0
"012600",2490,0,0,2490,2490,2490,"",0
"015760",24850,11931119,291020,24100,24950,22800,"",0
"020560",11990,154618,1857,12000,12090,11910,"",0
"025000",45950,11312,520,46050,46150,45700,"",0
"025750",802,122693,98,806,808,801,"",0
"030610",5220,114424,602,5430,5430,5200,"",0
"034310",13100,15787,207,13200,13280,13020,"",0
"037560",3715,248978,932,3775,3785,3715,"",0
"039570",7960,8935,72,8060,8140,7960,"",0
"042660",22950,1106711,24903,22000,22950,21800,"",0
"077500",8900,1611648,14991,9540,9810,8900,"",0
"084670",11990,2325,28,12040,12320,11990,"",0
"089470",4480,22955,102,4500,4500,4400,"",0
"102460",14930,27358,410,15040,15200,14900,"",0
"103590",10820,315627,3423,10620,11020,10620,"",0
"139130",9140,1318213,12015,9330,9330,8970,"",0
"143210",2815,6323,18,2805,2830,2775,"",0
"181710",27850,86575,2433,28500,28600,27750,"",0
"248070",28200,219072,6167,28550,28550,27900,"",0
"298050",332000,30158,9983,328000,336000,327000,"",0
"302440",64100,53351,3423,64300,64600,63900,"",0
"383800",7200,256996,1866,7450,7450,7160,"",0
"004780",4080,10763,44,4085,4100,4045,"",0
"006920",4905,5585395,25537,3775,4905,3715,"",0
"008830",10230,110308,1147,10440,10650,10200,"",0
"018120",15650,690,11,15690,15800,15630,"",0
"021650",2785,15863,44,2785,2800,2770,"",0
"024800",2240,31779,71,2270,2275,2215,"",0
"024840",1371,39924,55,1366,1381,1365,"",0
"027710",1594,382428,609,1605,1606,1590,"",0
"036690",3060,53165,164,3120,3145,3060,"",0
"037230",2140,22336,48,2145,2155,2115,"",0
"037440",7020,77538,544,6950,7100,6950,"",0
"039200",23900,1210319,29134,23650,24700,23200,"",0
"042500",4975,61744,306,4920,5020,4850,"",0
"044060",732,0,0,732,732,732,"",0
"049550",3730,6833,25,3800,3800,3635,"",0
"050760",1905,39466,75,1918,1930,1905,"",0
"052400",16600,20436,342,16800,16970,16580,"",0
"053590",334,0,0,334,334,334,"",0
"060310",2995,898066,2696,3050,3080,2960,"",0
"062860",5800,0,0,5800,5800,5800,"",0
"065150",212,102851,22,212,215,210,"",0
"066790",5080,44579900,237735,5470,5950,4875,"",0
"072870",10970,16123,177,11200,11200,10900,"",0
"073640",1496,33490201,48636,1321,1496,1249,"",0
"078590",1157,707400,808,1169,1212,1119,"",0
"078860",3190,27637,88,3235,3235,3150,"",0
"080220",27550,3653133,102356,28300,29250,27200,"",0
"085910",3465,22461,78,3485,3560,3465,"",0
"088800",2980,10242269,29826,2625,3095,2550,"",0
"092460",5870,9512,56,5860,5890,5800,"",0
"095660",22900,137114,3144,23100,23200,22800,"",0
"096630",1652,603175,1001,1674,1674,1651,"",0
"099220",1176,174038,203,1177,1184,1162,"",0
"100700",2805,31332,87,2805,2805,2770,"",0
"101330",3685,178920,659,3700,3750,3630,"",0
"108860",19590,554875,10899,19510,19980,19390,"",0
"123420",10060,20619,208,10140,10190,9970,"",0
"126340",45250,15519,703,45500,45700,45000,"",0
"131370",4720,2848767,13973,4890,5060,4705,"",0
"170920",15350,146865,2293,15980,16200,15250,"",0
"208860",2205,0,0,2205,2205,2205,"",0
"213420",38850,104288,4104,39200,40450,38800,"",0
"214430",33300,70507,2283,31650,33600,31050,"",0
"215200",62800,34301,2165,64600,64600,62100,"",0
"215480",3710,8478,31,3690,3715,3675,"",0
"230980",329,4139368,1389,346,351,325,"",0
"234340",20300,34448,701,20500,20700,20000,"",0
"256630",1369,21080,29,1400,1400,1359,"",0
"258830",510,1076406,560,542,546,510,"",0
"263750",32650,192912,6375,33200,33600,32550,"",0
"290560",11560,30941,359,11910,12150,11500,"",0
"307930",6860,146296,988,6810,6870,6650,"",0
"311690",15140,11461,173,14910,15370,14900,"",0
"314140",9500,153501,1419,9000,9700,8980,"",0
"322310",35450,372773,13276,34200,36900,33000,"",0
"323230",997,13110515,13145,846,1091,846,"",0
"335890",8200,701707,5728,8240,8290,8060,"",0
"348370",330000,1005691,308371,292500,330000,275500,"",0
"353810",3650,597382,2142,3480,3750,3380,"",0
"361570",3640,55183,200,3600,3665,3600,"",0
"365330",3100,276764,863,3105,3165,3085,"",0
"389260",13400,24584,326,13400,13430,13190,"",0
"405100",29850,3648316,107780,26850,31450,25550,"",0
"424960",12660,217406,2776,13120,13270,12610,"",0
"432470",37300,24334,906,36950,37700,36700,"",0
"440290",3300,350935,1134,3255,3315,3190,"",0
"443670",13970,4399845,63084,13620,15180,13510,"",0
"950190",11990,21811,263,12030,12200,11980,"",0
